Date,TZ,City,Code,Load
12/01/2020 12:35:00,EST,N.Y.C.,61761,5402.748
12/01/2020 12:40:00,EST,N.Y.C.,61761,5392.9766
12/01/2020 12:45:00,EST,N.Y.C.,61761,5409.6753
12/01/2020 12:50:00,EST,N.Y.C.,61761,5395.204
12/01/2020 12:53:06,EST,N.Y.C.,61761,5420.515
12/01/2020 12:54:42,EST,N.Y.C.,61761,5409.048
12/01/2020 12:55:00,EST,N.Y.C.,61761,5421.951
12/01/2020 13:00:00,EST,N.Y.C.,61761,5402.712
12/01/2020 13:05:00,EST,N.Y.C.,61761,5427.2036
12/01/2020 13:10:00,EST,N.Y.C.,61761,5422.157
12/01/2020 13:15:00,EST,N.Y.C.,61761,5436.262
12/01/2020 13:20:00,EST,N.Y.C.,61761,5439.6494
12/01/2020 13:20:12,EST,N.Y.C.,61761,5438.3
12/01/2020 13:22:12,EST,N.Y.C.,61761,5431.205
12/01/2020 13:25:00,EST,N.Y.C.,61761,5444.927
12/01/2020 13:30:00,EST,N.Y.C.,61761,5463.9688
12/01/2020 13:35:00,EST,N.Y.C.,61761,5443.1875
12/01/2020 13:40:00,EST,N.Y.C.,61761,5469.4854
12/01/2020 13:45:00,EST,N.Y.C.,61761,5490.4062
12/01/2020 13:50:00,EST,N.Y.C.,61761,5479.7534
12/01/2020 13:55:00,EST,N.Y.C.,61761,5494.876
12/01/2020 14:00:00,EST,N.Y.C.,61761,5503.736
12/01/2020 14:05:00,EST,N.Y.C.,61761,5449.351
12/01/2020 14:10:00,EST,N.Y.C.,61761,5476.961
12/01/2020 14:15:00,EST,N.Y.C.,61761,5493.0264
12/01/2020 14:20:00,EST,N.Y.C.,61761,5463.308
12/01/2020 14:25:00,EST,N.Y.C.,61761,5510.5654
12/01/2020 14:30:00,EST,N.Y.C.,61761,5526.501
12/01/2020 14:35:00,EST,N.Y.C.,61761,5520.465
12/01/2020 14:40:00,EST,N.Y.C.,61761,5528.9375
12/01/2020 14:45:00,EST,N.Y.C.,61761,5535.1704
12/01/2020 14:50:00,EST,N.Y.C.,61761,5560.052
12/01/2020 14:55:00,EST,N.Y.C.,61761,5544.5825
12/01/2020 15:00:00,EST,N.Y.C.,61761,5520.2163
12/01/2020 15:05:00,EST,N.Y.C.,61761,5548.312
12/01/2020 15:10:00,EST,N.Y.C.,61761,5568.606
12/01/2020 15:15:00,EST,N.Y.C.,61761,5578.558
12/01/2020 15:20:00,EST,N.Y.C.,61761,5580.747
12/01/2020 15:25:00,EST,N.Y.C.,61761,5629.2695
12/01/2020 15:30:00,EST,N.Y.C.,61761,5609.0483
12/01/2020 15:35:00,EST,N.Y.C.,61761,5583.0938
12/01/2020 15:39:24,EST,N.Y.C.,61761,5620.214
12/01/2020 15:40:00,EST,N.Y.C.,61761,5600.1357
12/01/2020 15:40:54,EST,N.Y.C.,61761,5610.168
12/01/2020 15:45:00,EST,N.Y.C.,61761,5597.759
12/01/2020 15:50:00,EST,N.Y.C.,61761,5622.386
12/01/2020 15:55:00,EST,N.Y.C.,61761,5662.3486
12/01/2020 16:00:00,EST,N.Y.C.,61761,5638.4404
12/01/2020 16:03:18,EST,N.Y.C.,61761,5655.4893
12/01/2020 16:05:00,EST,N.Y.C.,61761,5641.7705
12/01/2020 16:10:00,EST,N.Y.C.,61761,5647.3887
12/01/2020 16:15:00,EST,N.Y.C.,61761,5659.8555
12/01/2020 16:20:00,EST,N.Y.C.,61761,5698.8335
12/01/2020 16:25:00,EST,N.Y.C.,61761,5679.865
12/01/2020 16:30:00,EST,N.Y.C.,61761,5698.452
12/01/2020 16:35:00,EST,N.Y.C.,61761,5724.123
12/01/2020 16:40:00,EST,N.Y.C.,61761,5765.141
12/01/2020 16:45:00,EST,N.Y.C.,61761,5806.5713
12/01/2020 16:50:00,EST,N.Y.C.,61761,5820.5967
12/01/2020 16:55:00,EST,N.Y.C.,61761,5828.1113
12/01/2020 17:00:00,EST,N.Y.C.,61761,5836.1353
12/01/2020 17:05:00,EST,N.Y.C.,61761,5844.6616
12/01/2020 17:10:00,EST,N.Y.C.,61761,5881.616
12/01/2020 17:15:00,EST,N.Y.C.,61761,5858.7925
12/01/2020 17:20:00,EST,N.Y.C.,61761,5852.4463
12/01/2020 17:25:00,EST,N.Y.C.,61761,5857.7803
12/01/2020 17:30:00,EST,N.Y.C.,61761,5880.9717
12/01/2020 17:35:00,EST,N.Y.C.,61761,5916.6797
